"","keyword","salary"
"60","소프트웨어개발,솔루션업체,.NET,C·C++,HTML,Java,Java·JSP,Python,VisualBasic,인공지능(AI)","회사내규에 따름"
"61","DataMining,DBMS,소프트웨어개발,솔루션업체,DBA,Java,MySQL,데이타마이닝","회사내규에 따름"
"62","어학원,영어","면접후 결정"
"63","카지노,카지노,홀서빙","회사내규에 따름"
"64","보습학원,입시학원,수학","회사내규에 따름"
"65","보습학원,입시학원,수학,일반학원강사,입시학원강사,전임강사,파트강사","2,800~3,000만원"
"66","성형외과,피부과,피부관리·에스테틱","2,000~2,200만원"
"67","게임시나리오,영어,외화번역작가","회사내규에 따름"
"68","보습학원,어학원,영어,영어회화","면접후 결정"
"69","ASP,DBMS,소프트웨어개발,솔루션업체,시스템관리,Android앱개발,C#,Cisco,HTML,IOS앱개발,Java·JSP,Linux,Oracle,PHP,Python,Ruby,Windows,네트워크관리,서버관리,서버구축","회사내규에 따름"
"70","섬유,급여관리","2,600~2,800만원"
"71","제과제빵점,베이커리","2,200~2,400만원"
"72","인터넷교육,종합포털,컨텐츠제공,고객불만처리,고객상담,고객응대,메일·게시글 관리,사이트운영,컨텐츠운영,회원관리","면접후 결정"
"73","논술학원,보습학원,입시학원,일반학원강사","면접후 결정"
"74","건설회사,경리,부동산시행,비서","면접후 결정"
"75","쇼핑몰,오픈마켓,전자상거래,상품기획·개발,일반영업","면접후 결정"
"76","의료기기,이비인후과,임상병리,언어치료사,임상병리사","2,800~3,000만원"
"77","건설회사,부동산개발,부동산시행","회사내규에 따름"
"78","한의원,간호조무사,다이어트·비만관리,한의원","면접후 결정"
"79","약국,의료·보건,의약·제약,약무보조","2,000~2,200만원"
"80","어학원,영어학원,영어,영어회화","면접후 결정"
"81","내과,방사선사","면접후 결정"
"82","게임개발,게임기획·마케팅,게임개발,사업기획,사업제휴,신규사업·BD,타당성분석","면접후 결정"
"83","보습학원,영어학원,입시학원,영어,일반학원강사","회사내규에 따름"
"84","게임개발,게임운영,AWS,C#,시스템운영","면접후 결정"
"85","면세점,면세점","회사내규에 따름"
"86","공조냉동,냉난방설비,4대보험,경리,관리직,급여관리,부가세신고,사무직,전표입력","면접후 결정"
"87","게임개발,게임기획·마케팅,AWS,GM·게임운영,Java,게임개발","면접후 결정"
"88","게임개발,게임기획·마케팅,게임개발,사업기획,사업제휴,서비스기획,타당성분석","면접후 결정"
"89","보습학원,일반학원강사","회사내규에 따름"
"90","게임개발,게임운영,프론트엔드","면접후 결정"
"91","게임개발,게임운영,게임기획,게임디자인","면접후 결정"
"92","보습학원,일반학원강사","회사내규에 따름"
"93","게임개발,게임운영,게임개발,게임마케팅,마케팅전략·기획,시장조사·분석,프로모션","면접후 결정"
"94","한의원,간호조무사,한의원","2,200~2,400만원"
"95","병원·진료,간호조무사,피부관리·에스테틱","2,200~2,400만원"
"96","게임개발,게임기획·마케팅,동시통역,번역,영어,통역","면접후 결정"
"97","공조냉동,AS기사,공무,기계설비,설치·수리,유지·보수·교체","면접후 결정"
"98","게임개발,게임기획·마케팅,게임개발,보안관제,보안기술","면접후 결정"
"99","면세점,면세점","회사내규에 따름"
"100","게임개발,게임기획·마케팅,게임개발,기획,서비스기획","면접후 결정"
"101","영어학원,영어","면접후 결정"
"102","게임개발,게임운영,C#,Java,게임개발","면접후 결정"
"103","전자,HRD·HRM,노무·노사관리,노무사,복리후생,인사,채용·면접","회사내규에 따름"
"104","게임개발,게임기획·마케팅,게임개발,사업기획,사업제휴,서비스기획,타당성분석","면접후 결정"
"105","건설회사,Excel·도표,결산·정산,경리,경영지원,관리회계,부가세신고,세무,워드·문서작성,전산입력·편집,전산회계,전표입력,전화응대","면접후 결정"
"106","게임개발,게임기획·마케팅,게임개발,게임디자인","면접후 결정"
"107","게임개발,게임기획·마케팅,BM·브랜드매니저,게임마케팅,마케팅전략·기획,시장조사·분석,온라인마케팅","면접후 결정"
"108","식품·푸드,음식료,이태리요리,패밀리레스토랑,피자·스파게티,매니져,서비스,양식,요리사,주방장,지배인","회사내규에 따름"
"109","게임개발,게임기획·마케팅,게임마케팅,마케팅전략·기획,온라인마케팅,타당성분석","면접후 결정"
"110","게임개발,게임기획·마케팅,PM,게임개발,게임기획","면접후 결정"
